Date,Value
1974-12-31,2.255
1975-12-31,1.783
1976-12-31,2.067
1977-12-31,2.085
1978-12-31,1.897
1979-12-31,2.302
1980-12-31,2.055
1981-12-31,1.433
1982-12-31,1.295
1983-12-31,1.241
1984-12-31,1.388
1985-12-31,1.495
1986-12-31,1.467
1987-12-31,1.341
1988-12-31,1.45
1989-12-31,1.716
1990-12-31,1.81
1991-12-31,1.892
1992-12-31,1.943
1993-12-31,1.96
1994-12-31,1.931
1995-12-31,1.993
1996-12-31,2.001
1997-12-31,2.133
1998-12-31,2.115
1999-12-31,1.946
2000-12-31,2.039
2001-12-31,2.082
2002-12-31,1.966
2003-12-31,2.211
2004-12-31,2.393
2005-12-31,2.469
2006-12-31,2.326
2007-12-31,2.207
2008-12-31,2.165
2009-12-31,2.208
2010-12-31,2.408
2011-12-31,2.474
2012-12-31,2.457
2013-12-31,2.307
2014-12-31,2.347
2015-12-31,2.171
2016-12-31,1.871
2017-12-31,1.946
2018-12-31,1.91
2019-12-31,1.946
2020-12-31,1.775
2021-12-31,1.523
2022-12-31,1.291
2023-12-31,1.442
